title,type,release_year,runtime,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters
Taxi Driver,MOVIE,1976,114,0.0,8.2,808582.0,40.965,8.179,US,1,drama,0
Deliverance,MOVIE,1972,109,0.0,7.7,107673.0,10.01,7.3,US,1,drama,0
Monty Python and the Holy Grail,MOVIE,1975,91,0.0,8.2,534486.0,15.461,7.811,GB,1,fantasy,-1
The Dirty Dozen,MOVIE,1967,150,0.0,7.7,72662.0,20.398,7.6,GB,2,war,-1
Monty Python's Flying Circus,SHOW,1969,30,4.0,8.8,73424.0,17.617,8.306,GB,1,comedy,28
Life of Brian,MOVIE,1979,94,0.0,8.0,395024.0,17.77,7.8,GB,1,comedy,11
Dirty Harry,MOVIE,1971,102,0.0,7.7,155051.0,12.817,7.5,US,1,thriller,1
Bonnie and Clyde,MOVIE,1967,110,0.0,7.7,112048.0,15.687,7.5,US,1,crime,2
The Blue Lagoon,MOVIE,1980,104,0.0,5.8,69844.0,50.324,6.156,US,1,romance,3
The Guns of Navarone,MOVIE,1961,158,0.0,7.5,50748.0,13.844,7.3,GB,2,action,-1
The Professionals,MOVIE,1966,117,0.0,7.3,16446.0,13.123,7.1,US,1,western,4
Richard Pryor: Live in Concert,MOVIE,1979,78,0.0,8.1,5141.0,4.718,7.5,US,1,comedy,5
White Christmas,MOVIE,1954,115,0.0,7.5,42488.0,8.915,7.2,US,1,romance,3
Cairo Station,MOVIE,1958,77,0.0,7.5,4471.0,5.546,7.3,EG,1,drama,6
Hitler: A Career,MOVIE,1977,150,0.0,7.5,2460.0,4.305,7.3,DE,1,history,-1
FTA,MOVIE,1972,97,0.0,6.2,418.0,1.268,6.1,US,1,war,-1
Alexandria… Why?,MOVIE,1979,133,0.0,7.2,1727.0,1.37,6.0,EG,1,drama,6
The Land,MOVIE,1969,129,0.0,8.1,1958.0,1.265,8.5,EG,1,drama,6
Dostana,MOVIE,1980,161,0.0,2.1,25.0,3.98,4.9,IN,1,drama,-1
Saladin the Victorious,MOVIE,1963,186,0.0,7.6,2508.0,4.156,7.1,EG,1,action,-1
Alibaba Aur 40 Chor,MOVIE,1979,146,0.0,6.2,565.0,2.582,6.8,SU,2,drama,6
The Blazing Sun,MOVIE,1954,100,0.0,7.4,1219.0,2.184,7.0,EG,1,crime,-1
Dark Waters,MOVIE,1956,120,0.0,6.7,610.0,0.849,5.9,EG,1,action,-1
We Are All for the Fatherland,MOVIE,1979,74,0.0,6.1,47.0,0.6,5.2,LB,3,documentation,-1
Singapore,MOVIE,1960,158,0.0,6.4,84.0,0.792,6.3,IN,1,drama,7
"Beirut, Oh Beirut",MOVIE,1975,110,0.0,6.4,108.0,1.025,7.2,LB,1,drama,6
The Return of the Prodigal Son,MOVIE,1976,124,0.0,7.2,780.0,1.858,5.3,DZ,2,music,-1
Khoon Khoon,MOVIE,1973,131,0.0,5.1,41.0,1.948,3.8,IN,1,crime,-1
Manoranjan,MOVIE,1974,162,0.0,6.5,237.0,1.532,5.3,IN,1,romance,13
Ujala,MOVIE,1959,142,0.0,6.6,78.0,0.84,6.0,IN,1,romance,-1
Whispers,MOVIE,1980,93,0.0,7.8,78.0,0.6,5.0,CA,3,documentation,-1
Chadi Jawani Budhe Nu,MOVIE,1976,135,0.0,4.6,14.0,0.62,6.0,IN,1,romance,13
Bandie,MOVIE,1978,141,0.0,4.4,35.0,1.166,6.0,IN,1,drama,7
Seinfeld,SHOW,1989,24,9.0,8.9,308824.0,130.213,8.301,US,1,comedy,8
GoodFellas,MOVIE,1990,145,0.0,8.7,1131681.0,50.387,8.463,US,1,drama,0
Full Metal Jacket,MOVIE,1987,117,0.0,8.3,729274.0,32.937,8.1,US,2,war,-1
Once Upon a Time in America,MOVIE,1984,139,0.0,8.3,345714.0,28.937,8.453,US,2,crime,2
When Harry Met Sally...,MOVIE,1989,96,0.0,7.7,216199.0,15.123,7.4,US,1,comedy,5
A Nightmare on Elm Street,MOVIE,1984,91,0.0,7.4,234068.0,48.358,7.3,GB,2,horror,-1
Steel Magnolias,MOVIE,1989,119,0.0,7.3,54946.0,11.69,7.2,US,1,comedy,5
Police Academy,MOVIE,1984,97,0.0,6.7,124881.0,25.533,6.6,US,1,crime,2
Christine,MOVIE,1983,110,0.0,6.7,81922.0,23.418,6.8,US,1,horror,9
Knight Rider,SHOW,1982,51,4.0,6.9,34115.0,50.267,7.5,US,1,scifi,10
Thomas & Friends,SHOW,1984,10,24.0,6.5,5104.0,42.196,6.5,GB,1,animation,42
Saved by the Bell,SHOW,1989,23,5.0,7.1,35034.0,19.855,8.0,US,1,family,23
Awakenings,MOVIE,1990,120,0.0,7.8,139240.0,12.23,7.8,US,1,drama,0
Wheel of Fortune,SHOW,1983,26,39.0,6.7,3145.0,5.935,6.8,US,1,family,-1
National Lampoon's Christmas Vacation,MOVIE,1989,97,0.0,7.5,185760.0,18.862,7.2,US,1,comedy,5
Lean On Me,MOVIE,1989,105,0.0,7.4,20680.0,19.449,7.3,US,1,drama,0
Eddie Murphy Raw,MOVIE,1987,90,0.0,7.6,19757.0,7.992,7.3,US,1,comedy,5
She's Gotta Have It,MOVIE,1986,84,0.0,6.7,14472.0,7.416,6.707,US,1,romance,3
Major Dad,SHOW,1989,24,4.0,6.5,2922.0,9.849,6.5,US,1,comedy,8
Endless Love,MOVIE,1981,116,0.0,4.9,8524.0,19.116,5.7,US,1,romance,3
Danger Mouse,SHOW,1981,14,10.0,7.4,3545.0,8.55,7.5,GB,1,animation,-1
Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,119,0.0,7.3,1693.0,8.092,6.7,JP,1,scifi,-1
Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,133,0.0,7.2,1274.0,13.125,7.2,JP,1,animation,46
Fireman Sam,SHOW,1987,10,13.0,6.1,1785.0,37.647,7.2,GB,1,animation,42
Sam Kinison: Breaking the Rules,MOVIE,1987,50,0.0,7.2,660.0,1.843,7.2,US,1,comedy,5
Waiting for the Hearse,MOVIE,1985,87,0.0,8.0,6399.0,7.81,8.1,AR,1,comedy,-1
Tim Allen: Men Are Pigs,MOVIE,1990,30,0.0,6.1,360.0,2.482,6.3,US,1,comedy,5
Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,144,0.0,7.6,1236.0,12.741,7.5,JP,1,action,50
Monty Python Live at the Hollywood Bowl,MOVIE,1982,81,0.0,7.9,15230.0,6.833,7.4,GB,1,comedy,11
Disco Dancer,MOVIE,1982,106,0.0,6.4,1476.0,7.879,5.3,IN,1,drama,7
Agneepath,MOVIE,1990,174,0.0,7.6,8947.0,4.062,6.5,IN,1,drama,7
Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,72,0.0,8.1,1522.0,1.801,6.9,GB,1,comedy,11
Too Young The Hero,MOVIE,1988,100,0.0,6.7,502.0,1.485,6.2,US,1,drama,0
A Stoning in Fulham County,MOVIE,1988,120,0.0,5.9,387.0,1.01,5.8,US,1,thriller,1
The Ryan White Story,MOVIE,1989,102,0.0,7.2,863.0,1.981,5.9,US,1,drama,0
Dil,MOVIE,1990,172,0.0,6.6,5316.0,3.992,6.5,IN,1,drama,7
Adam: His Song Continues,MOVIE,1986,100,0.0,7.0,212.0,1.603,7.0,US,1,crime,2
The George McKenna Story,MOVIE,1988,100,0.0,6.0,921.0,2.296,6.1,US,1,drama,0
In Defense of a Married Man,MOVIE,1990,94,0.0,5.6,207.0,2.444,4.9,US,1,drama,0
Mujrim,MOVIE,1989,162,0.0,5.4,197.0,1.418,6.0,IN,1,drama,7
Aakhri Adaalat,MOVIE,1988,148,0.0,5.1,92.0,1.374,5.0,IN,1,action,52
"Alexandria, Again and Forever",MOVIE,1989,105,0.0,6.5,658.0,0.817,5.3,FR,2,drama,12
Strange Voices,MOVIE,1987,100,0.0,6.3,360.0,2.76,6.8,US,1,drama,0
Jaal,MOVIE,1986,159,0.0,5.2,125.0,3.366,5.0,IN,1,action,52
Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,100,0.0,7.2,144.0,2.246,8.0,US,1,drama,0
Sohni Mahiwal,MOVIE,1984,160,0.0,6.1,297.0,6.052,5.8,IN,1,romance,13
Ek Jaan Hain Hum,MOVIE,1983,151,0.0,6.3,70.0,0.986,7.0,IN,1,family,-1
An Egyptian Story,MOVIE,1982,129,0.0,7.3,1126.0,1.77,6.7,EG,1,drama,6
The Little Wars,MOVIE,1982,108,0.0,6.3,152.0,1.956,5.5,FR,2,war,-1
Unspeakable Acts,MOVIE,1990,100,0.0,6.1,464.0,2.075,5.3,US,1,drama,0
Survivor,SHOW,2000,48,42.0,7.4,24687.0,54.19,7.4,US,1,reality,14
Mission: Impossible,MOVIE,1996,110,0.0,7.1,420673.0,41.115,6.9,US,1,thriller,1
Stargate SG-1,SHOW,1997,44,10.0,8.4,90196.0,88.851,8.3,CA,2,scifi,-1
Se7en,MOVIE,1995,127,0.0,8.6,1606270.0,51.633,8.352,US,1,crime,2
Pokémon,SHOW,1997,22,25.0,7.4,198.0,115.356,7.633,JP,1,action,15
Boogie Nights,MOVIE,1997,156,0.0,7.9,261563.0,20.436,7.6,US,1,drama,0
Forrest Gump,MOVIE,1994,142,0.0,8.8,2021343.0,63.449,8.478,US,1,drama,0
Snatch,MOVIE,2000,103,0.0,8.3,841435.0,25.203,7.8,US,2,crime,2
The Talented Mr. Ripley,MOVIE,1999,139,0.0,7.4,207524.0,13.78,7.2,US,1,thriller,1
One Piece,SHOW,1999,23,21.0,8.8,117129.0,143.457,8.764,JP,1,animation,16
The Challenge,SHOW,1998,40,37.0,7.8,3362.0,18.075,7.7,US,1,reality,14
Titanic,MOVIE,1997,194,0.0,7.9,1146825.0,155.683,7.878,US,1,drama,0
Cowboy Bebop,SHOW,1998,25,1.0,8.9,115448.0,35.402,8.522,JP,1,animation,16
Starship Troopers,MOVIE,1997,129,0.0,7.3,291452.0,29.5,6.993,US,1,scifi,17
Mission: Impossible II,MOVIE,2000,123,0.0,6.1,337987.0,29.392,6.1,US,1,thriller,1
Dumb and Dumber,MOVIE,1994,107,0.0,7.3,379999.0,31.852,6.6,US,1,comedy,5
Neon Genesis Evangelion,SHOW,1995,24,1.0,8.5,66629.0,49.27,8.637,JP,1,drama,43
Gattaca,MOVIE,1997,106,0.0,7.8,300701.0,17.789,7.553,US,1,scifi,17
Léon: The Professional,MOVIE,1994,111,0.0,8.5,1137357.0,51.406,8.323,US,2,crime,2
Gilmore Girls,SHOW,2000,46,8.0,8.2,121462.0,58.578,7.827,US,1,comedy,8
Natural Born Killers,MOVIE,1994,118,0.0,7.3,11.0,21.933,7.1,US,1,thriller,1
The Quick and the Dead,MOVIE,1995,107,0.0,6.5,93767.0,13.056,6.5,JP,2,action,50
You've Got Mail,MOVIE,1998,119,0.0,6.7,211635.0,21.724,6.643,US,1,comedy,5
Power Rangers,SHOW,1993,22,29.0,6.5,22110.0,19.699,6.8,US,1,action,18
Big Daddy,MOVIE,1999,93,0.0,6.4,215053.0,26.848,6.45,US,1,drama,0
Vampires,MOVIE,1998,104,0.0,6.1,58670.0,10.108,6.3,US,1,fantasy,19
Yu-Gi-Oh!,SHOW,1998,22,7.0,7.3,21113.0,33.504,7.358,JP,1,scifi,20
Donnie Brasco,MOVIE,1997,127,0.0,7.7,303868.0,22.225,7.5,US,1,drama,0
The Magic School Bus,SHOW,1994,26,4.0,7.8,9829.0,16.83,7.8,CA,2,animation,143
Goosebumps,SHOW,1995,22,4.0,7.6,13493.0,63.687,7.9,US,2,scifi,10
InuYasha,SHOW,2000,25,9.0,7.9,15823.0,62.355,8.6,JP,1,scifi,20
A River Runs Through It,MOVIE,1992,123,0.0,7.2,59854.0,19.58,7.1,US,1,drama,0
"Girl, Interrupted",MOVIE,1999,127,0.0,7.3,183154.0,20.424,7.6,DE,2,drama,21
Last Action Hero,MOVIE,1993,131,0.0,6.4,150498.0,22.196,6.379,US,1,action,22
All That,SHOW,1994,22,11.0,7.5,7718.0,6.688,8.4,US,1,comedy,8
My Girl,MOVIE,1991,103,0.0,6.9,80590.0,20.545,7.4,US,1,drama,0
Wyatt Earp,MOVIE,1994,191,0.0,6.7,50774.0,14.677,6.751,US,1,western,4
Eraser,MOVIE,1996,115,0.0,6.1,110921.0,19.437,6.0,US,2,thriller,1
Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,87,0.0,8.0,53152.0,32.569,8.4,JP,1,action,50
Vegas Vacation,MOVIE,1997,94,0.0,5.9,49377.0,12.537,6.1,US,1,comedy,5
In the Line of Fire,MOVIE,1993,128,0.0,7.2,102916.0,19.8,6.973,US,1,drama,0
Little Women,MOVIE,1994,115,0.0,7.3,58178.0,13.683,7.314,US,1,drama,0
U.S. Marshals,MOVIE,1998,131,0.0,6.5,105286.0,24.205,6.5,US,1,thriller,1
Barney & Friends,SHOW,1992,28,14.0,3.8,9624.0,14.641,4.9,US,1,comedy,-1
Anaconda,MOVIE,1997,89,0.0,4.8,104213.0,34.405,5.1,PE,3,horror,57
Kenan & Kel,SHOW,1996,25,4.0,7.8,15620.0,33.544,8.3,US,1,family,23
The Replacements,MOVIE,2000,118,0.0,6.6,64771.0,30.982,6.6,US,1,comedy,5
Seven Years in Tibet,MOVIE,1997,136,0.0,7.1,142903.0,13.766,7.2,US,1,action,22
The Net,MOVIE,1995,114,0.0,5.9,66667.0,15.935,6.0,US,1,thriller,1
Cliffhanger,MOVIE,1993,112,0.0,6.5,128972.0,27.78,6.5,IT,3,action,-1
Menace II Society,MOVIE,1993,97,0.0,7.5,58179.0,13.928,7.542,US,1,drama,0
Johnny Mnemonic,MOVIE,1995,97,0.0,5.6,71563.0,10.75,5.7,CA,2,action,105
3 Ninjas Kick Back,MOVIE,1994,93,0.0,4.5,9321.0,12.603,5.5,JP,2,comedy,-1
Edge of Seventeen,MOVIE,1998,104,0.0,6.8,6549.0,6.276,6.5,US,1,romance,3
The Devil's Own,MOVIE,1997,107,0.0,6.2,65323.0,12.863,6.1,US,1,crime,2
Cardcaptor Sakura,SHOW,1998,25,4.0,8.0,5008.0,35.757,8.7,JP,1,scifi,20
Spawn,MOVIE,1997,96,0.0,5.2,68184.0,16.989,5.343,US,1,scifi,17
Adventures of Sonic the Hedgehog,SHOW,1993,22,4.0,6.2,3902.0,13.313,6.3,US,1,scifi,10
Croupier,MOVIE,1998,94,0.0,7.0,21599.0,8.381,6.8,IE,4,drama,6
Girlfriends,SHOW,2000,21,8.0,7.2,4528.0,12.163,7.7,US,1,drama,24
The Next Karate Kid,MOVIE,1994,107,0.0,4.5,30422.0,20.185,5.318,US,1,action,22
Geronimo: An American Legend,MOVIE,1993,115,0.0,6.5,11709.0,8.136,6.3,US,1,western,4
Double Team,MOVIE,1997,93,0.0,4.8,34396.0,14.599,5.1,HK,2,action,-1
Heavy,MOVIE,1995,105,0.0,6.8,5047.0,3.308,6.8,US,1,drama,0
The Players Club,MOVIE,1998,104,0.0,5.9,6676.0,9.25,6.3,US,1,comedy,5
The Parkers,SHOW,1999,19,5.0,6.8,2377.0,5.745,8.1,US,1,comedy,8
"Sister, Sister",SHOW,1994,22,6.0,6.2,12657.0,21.489,7.5,US,1,comedy,8
Moesha,SHOW,1996,21,6.0,5.8,3747.0,10.901,7.0,US,1,drama,24
Heartbreak High,SHOW,1994,45,7.0,7.8,3139.0,7.222,7.3,AU,1,drama,25
Oggy and the Cockroaches,SHOW,1999,9,7.0,7.4,4281.0,40.189,7.5,FR,1,animation,100
Kuch Kuch Hota Hai,MOVIE,1998,185,0.0,7.6,52036.0,12.35,7.7,IN,1,romance,13
Children of God,MOVIE,1994,63,0.0,6.3,612.0,0.685,6.4,GB,1,documentation,85
Knight Rider 2000,MOVIE,1991,91,0.0,4.5,3207.0,7.945,5.1,US,1,action,22
Okupas,SHOW,2000,40,1.0,9.0,2399.0,8.565,8.8,AR,1,drama,97
Hum Aapke Hain Koun..!,MOVIE,1994,206,0.0,7.5,21123.0,6.314,6.5,IN,1,drama,7
Dil Se..,MOVIE,1998,163,0.0,7.5,28586.0,7.811,6.8,IN,1,drama,7
Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,1998,75,0.0,7.9,5879.0,5.822,7.6,US,1,comedy,5
H,SHOW,1998,25,4.0,7.4,1727.0,7.905,7.6,FR,1,comedy,132
Sankofa,MOVIE,1993,124,0.0,7.0,692.0,1.858,6.5,DE,5,drama,-1
Herod's Law,MOVIE,1999,123,0.0,7.8,6035.0,10.506,7.9,MX,1,comedy,110
Wild Tango,MOVIE,1993,124,0.0,6.7,1584.0,5.092,6.1,ES,2,drama,98
The Last Days,MOVIE,1998,87,0.0,7.9,4378.0,3.766,7.8,US,1,drama,0
Sam Kinison: Live in Vegas,MOVIE,1991,72,0.0,6.6,276.0,0.656,6.0,US,1,comedy,5
Bill Hicks: Revelations,MOVIE,1993,74,0.0,8.5,3098.0,3.784,8.1,GB,1,comedy,11
Bombay,MOVIE,1995,141,0.0,8.1,12629.0,4.99,7.2,IN,1,drama,7
Mann,MOVIE,1999,174,0.0,6.1,5451.0,2.595,6.7,IN,1,drama,7
Soldier,MOVIE,1998,156,0.0,6.2,3063.0,3.623,5.7,IN,1,thriller,26
Sinbad: Son of a Preacher Man,MOVIE,1996,56,0.0,6.8,116.0,1.536,5.8,US,1,comedy,5
Damini,MOVIE,1993,175,0.0,7.8,3523.0,3.328,7.3,IN,1,drama,7
Hum Saath Saath Hain,MOVIE,1999,177,0.0,6.2,8552.0,7.865,6.0,IN,1,romance,13
Destiny,MOVIE,1997,136,0.0,7.1,2857.0,3.287,6.7,FR,2,drama,12
Chronicle of a Disappearance,MOVIE,1996,88,0.0,6.9,733.0,2.099,6.7,PS,4,drama,6
Muthu,MOVIE,1995,165,0.0,7.6,3056.0,3.576,6.9,IN,1,comedy,27
Jeans,MOVIE,1998,175,0.0,6.4,3604.0,3.393,6.5,IN,1,comedy,27
Monty Python: Live at Aspen,MOVIE,1998,58,0.0,7.8,1096.0,2.681,6.9,GB,2,comedy,11
Minsara Kanavu,MOVIE,1997,145,0.0,6.7,1226.0,2.316,6.6,IN,1,comedy,27
Duplicate,MOVIE,1998,165,0.0,5.5,7618.0,4.112,6.0,IN,1,comedy,27
Avvai Shanmugi,MOVIE,1996,160,0.0,7.9,2586.0,2.828,7.5,IN,1,drama,7
Anjaam,MOVIE,1994,137,0.0,6.6,6532.0,3.806,7.1,IN,1,romance,13
A Triumph of the Heart: The Ricky Bell Story,MOVIE,1991,100,0.0,7.2,250.0,1.533,5.1,US,1,drama,0
Phir Bhi Dil Hai Hindustani,MOVIE,2000,160,0.0,6.1,7610.0,7.778,6.6,IN,1,comedy,27
Children of Shatila,MOVIE,1999,50,0.0,8.1,78.0,1.635,6.7,LB,1,documentation,48
Tim Allen: Rewires America,MOVIE,1991,30,0.0,6.0,198.0,2.297,7.0,US,1,comedy,5
West Beirut,MOVIE,1998,105,0.0,7.6,4221.0,3.308,7.3,FR,4,romance,-1
Govindha Govindha,MOVIE,1993,145,0.0,6.6,356.0,1.248,4.0,IN,1,drama,7
Out of Life,MOVIE,1991,97,0.0,6.9,376.0,2.481,6.2,BE,4,drama,-1
Gumrah,MOVIE,1993,149,0.0,6.1,795.0,1.763,6.7,IN,1,drama,7
Sinbad: Nothin' but the Funk,MOVIE,1998,56,0.0,6.3,65.0,1.83,5.2,US,1,comedy,5
Sinbad: Afros and Bellbottoms,MOVIE,1993,60,0.0,7.8,172.0,3.793,5.5,US,1,comedy,5
Fiza,MOVIE,2000,170,0.0,6.0,4213.0,2.835,6.3,IN,1,romance,13
Before the Flying Circus,MOVIE,2000,55,0.0,7.3,168.0,1.444,8.5,GB,1,comedy,11
The Other,MOVIE,1999,106,0.0,5.9,997.0,1.12,5.9,FR,2,romance,-1
Yodha,MOVIE,1991,142,0.0,4.5,198.0,1.554,5.0,IN,1,action,52
The Emigrant,MOVIE,1994,129,0.0,6.5,1015.0,1.4,6.0,FR,2,drama,12
Hello Brother,MOVIE,1999,131,0.0,4.6,4262.0,4.338,5.3,IN,1,comedy,27
Dushmani,MOVIE,1995,156,0.0,5.0,249.0,2.045,7.5,IN,1,romance,13
Nightmare in Columbia County,MOVIE,1991,100,0.0,5.5,345.0,2.713,6.0,US,1,drama,0
Shikari,MOVIE,1991,162,0.0,5.8,68.0,1.323,5.0,IN,2,drama,7
Breaking Bad,SHOW,2008,48,5.0,9.5,1775990.0,353.848,8.79,US,1,drama,24
Top Gear,SHOW,2002,58,32.0,8.7,117240.0,45.549,7.4,GB,1,comedy,28
The Walking Dead,SHOW,2010,46,11.0,8.2,956604.0,597.277,8.1,US,1,action,18
Supernatural,SHOW,2005,45,15.0,8.4,434081.0,388.093,8.278,US,1,scifi,10
The Mist,MOVIE,2007,126,0.0,7.1,305346.0,37.369,6.9,US,1,horror,9
Mean Girls,MOVIE,2004,97,0.0,7.1,375975.0,57.235,7.2,CA,2,comedy,29
The Great British Baking Show,SHOW,2010,57,12.0,8.6,9856.0,5.581,7.7,GB,1,reality,30
30 Rock,SHOW,2006,25,7.0,8.3,122698.0,48.88,7.4,US,1,comedy,8
Borgen,SHOW,2010,58,4.0,8.5,25485.0,51.118,8.1,DK,1,drama,31
Community,SHOW,2009,23,6.0,8.5,257221.0,42.357,8.0,US,1,comedy,8
Catch Me If You Can,MOVIE,2002,141,0.0,8.1,952602.0,72.321,8.0,US,1,drama,0
Grey's Anatomy,SHOW,2005,49,19.0,7.6,299165.0,803.786,8.252,US,1,drama,24
Arrested Development,SHOW,2003,28,5.0,8.7,300445.0,30.131,8.043,US,1,comedy,8
Heartland,SHOW,2007,44,15.0,8.4,16337.0,74.638,8.3,CA,1,drama,94
The Staircase,SHOW,2004,49,2.0,7.8,21531.0,10.922,7.7,FR,1,crime,-1
Old School,MOVIE,2003,88,0.0,7.0,229171.0,17.131,6.577,US,1,comedy,5
NCIS,SHOW,2003,43,20.0,7.8,143846.0,251.622,7.6,US,1,crime,32
Avatar: The Last Airbender,SHOW,2005,24,3.0,9.3,303666.0,56.915,8.7,US,1,scifi,10
Anchorman: The Legend of Ron Burgundy,MOVIE,2004,95,0.0,7.1,353118.0,20.606,6.7,US,1,comedy,5
Friday Night Lights,SHOW,2006,43,5.0,8.7,65199.0,19.681,8.1,US,1,drama,24
The IT Crowd,SHOW,2006,25,5.0,8.5,149586.0,31.031,8.108,GB,1,comedy,28
Inception,MOVIE,2010,148,0.0,8.8,2294231.0,108.284,8.4,US,2,action,-1
The Spectacular Spider-Man,SHOW,2008,22,2.0,8.3,14996.0,41.509,8.705,US,1,action,18
The Departed,MOVIE,2006,151,0.0,8.5,1296244.0,33.795,8.2,US,1,drama,0
Zoey 101,SHOW,2005,25,4.0,6.1,15808.0,53.044,8.2,US,1,drama,24
Insidious,MOVIE,2010,103,0.0,6.8,303820.0,99.129,6.929,CA,2,horror,99
War of the Worlds,MOVIE,2005,117,0.0,6.5,444229.0,36.989,6.474,US,1,action,22
DEATH NOTE,SHOW,2006,24,1.0,9.0,309445.0,120.545,8.664,JP,1,animation,16
The Vampire Diaries,SHOW,2009,42,8.0,7.7,314422.0,479.354,8.348,US,1,drama,24
Naruto,SHOW,2002,23,6.0,8.4,96729.0,218.843,8.363,JP,1,animation,16
Wanted,MOVIE,2008,110,0.0,6.7,384995.0,33.101,6.5,DE,2,action,-1
Casino Royale,MOVIE,2006,144,0.0,8.0,649676.0,40.164,7.518,DE,5,action,-1
My Little Pony: Friendship Is Magic,SHOW,2010,22,9.0,7.6,20910.0,52.369,8.1,CA,2,comedy,33
Chappelle's Show,SHOW,2003,21,3.0,8.8,63107.0,14.116,8.1,US,1,comedy,8
The Terminal,MOVIE,2004,128,0.0,7.4,441752.0,21.384,7.3,US,1,drama,0
Michael Clayton,MOVIE,2007,114,0.0,7.2,165109.0,16.97,6.7,US,1,thriller,1
Road to Perdition,MOVIE,2002,117,0.0,7.7,265216.0,18.739,7.4,US,1,thriller,1
Victorious,SHOW,2010,25,4.0,6.9,24838.0,71.494,8.221,US,1,comedy,8
Big Fish,MOVIE,2003,125,0.0,8.0,437650.0,21.158,7.769,US,1,action,22
The Hurt Locker,MOVIE,2008,131,0.0,7.5,446904.0,28.341,7.3,US,1,thriller,1
Troy,MOVIE,2004,163,0.0,7.3,527447.0,48.407,7.1,MT,3,action,95
Sherlock Holmes,MOVIE,2009,129,0.0,7.6,625708.0,43.297,7.2,AU,4,crime,-1
Trailer Park Boys,SHOW,2001,25,12.0,8.6,42733.0,22.603,8.0,CA,1,comedy,33
Love Actually,MOVIE,2003,135,0.0,7.6,476101.0,36.484,7.1,GB,2,drama,34
America's Next Top Model,SHOW,2003,44,24.0,5.6,17905.0,14.501,5.3,US,1,reality,14
Get Smart,MOVIE,2008,110,0.0,6.5,216695.0,22.421,6.2,US,1,comedy,5
Quantum of Solace,MOVIE,2008,106,0.0,6.6,444241.0,31.298,6.304,GB,2,thriller,35
The Blind Side,MOVIE,2009,129,0.0,7.6,327675.0,63.663,7.661,US,1,drama,0
Identity,MOVIE,2003,90,0.0,7.3,240433.0,19.558,7.181,US,1,thriller,1
I Am Legend,MOVIE,2007,101,0.0,7.2,745093.0,69.139,7.192,US,1,scifi,17
The Fairly OddParents,SHOW,2001,23,10.0,7.2,38046.0,67.192,7.7,CA,2,comedy,33
Grown Ups,MOVIE,2010,102,0.0,5.9,249934.0,98.37,6.333,US,1,comedy,5
The Girl Next Door,MOVIE,2004,110,0.0,6.7,223380.0,37.315,6.7,US,1,comedy,5
Ned's Declassified School Survival Guide,SHOW,2004,25,3.0,7.4,17864.0,33.115,8.6,US,1,family,23
Public Enemies,MOVIE,2009,140,0.0,7.0,300773.0,85.039,6.7,US,2,action,22
Not Another Teen Movie,MOVIE,2001,89,0.0,5.7,105352.0,36.438,5.8,US,1,comedy,5
Blow,MOVIE,2001,124,0.0,7.5,258431.0,24.348,7.4,US,1,crime,2
Hancock,MOVIE,2008,92,0.0,6.4,476593.0,121.985,6.33,US,1,fantasy,19
iCarly,SHOW,2007,26,6.0,6.7,38877.0,100.996,8.0,US,1,comedy,8
The Pursuit of Happyness,MOVIE,2006,117,0.0,8.0,501457.0,47.893,7.9,US,1,drama,0
Monster,MOVIE,2003,110,0.0,7.3,150339.0,16.309,7.2,US,1,crime,2
Rambo,MOVIE,2008,92,0.0,7.0,230333.0,72.224,6.6,DE,2,action,-1
Something's Gotta Give,MOVIE,2003,128,0.0,6.7,121364.0,14.619,6.6,US,1,drama,0
Harold & Kumar Go to White Castle,MOVIE,2004,83,0.0,7.0,194695.0,15.026,6.5,US,1,comedy,5
Thir13en Ghosts,MOVIE,2001,91,0.0,5.6,87083.0,50.592,6.2,CA,2,horror,99
Merlin,SHOW,2008,44,5.0,7.9,80927.0,74.931,7.9,GB,1,action,-1
Transformers: Prime,SHOW,2010,22,4.0,7.9,6636.0,28.925,8.0,US,1,action,18
Cloudy with a Chance of Meatballs,MOVIE,2009,90,0.0,6.9,229274.0,58.945,6.6,US,1,animation,36
The Mole,SHOW,2001,47,5.0,7.6,1155.0,2.189,7.8,BE,2,reality,-1
Offspring,SHOW,2010,44,7.0,8.3,4880.0,10.243,7.0,AU,1,drama,25
Halloween,MOVIE,2007,109,0.0,6.0,119606.0,38.491,6.2,US,1,horror,9
Code Geass: Lelouch of the Rebellion,SHOW,2006,24,3.0,8.7,62367.0,35.011,8.493,JP,1,scifi,20
Jackass: The Movie,MOVIE,2002,88,0.0,6.6,94423.0,25.23,6.3,US,1,comedy,5
Semi-Pro,MOVIE,2008,94,0.0,5.8,82159.0,12.789,5.6,US,1,comedy,5
The Lake House,MOVIE,2006,99,0.0,6.8,149070.0,16.31,7.0,US,1,drama,0
